Note,Note stop,Flag usage,Texte,Fichier son,Instrument,Slot,Type,Pas utilisé,Groupe,Durée,Attente,pseudo
11,10,0,violon11,violon11,1,0,1,0,1,4,,
12,10,0,violon12,violon12,1,0,2,0,1,4,,
13,10,0,violon13,violon13,1,0,3,0,1,2,,
14,10,0,violon14,violon14,1,0,4,0,1,2,,
15,10,0,violon15,violon15,1,0,1,0,1,4,,
18,10,0,violon16,violon16,1,0,2,0,1,4,,
19,10,0,violon17,violon17,1,0,3,0,1,2,,
20,10,0,violon18,violon18,1,0,4,0,1,2,,
31,30,0,violon21,violon21,2,0,4,0,2,4,,
32,30,0,violon22,violon22,2,0,4,0,2,4,,
33,30,0,violon23,violon23,2,0,4,0,2,4,,
34,30,0,violon24,violon24,2,0,4,0,2,4,,
35,30,0,violon25,violon25,2,0,4,0,2,4,,
36,30,0,violon26,violon26,2,0,3,0,2,4,,
37,30,0,violon27,violon27,2,0,2,0,2,4,,
38,30,0,violon28,violon28,2,0,1,0,2,4,,
41,40,0,alto1,alto1,3,0,4,0,3,4,,
42,40,0,alto2,alto2,3,0,4,0,3,4,,
43,40,0,alto3,alto3,3,0,4,0,3,4,,
44,40,0,alto4,alto4,3,0,4,0,3,4,,
45,40,0,alto5,alto5,3,0,4,0,3,4,,
46,40,0,alto6,alto6,3,0,3,0,3,4,,
47,40,0,alto7,alto7,3,0,2,0,3,4,,
48,40,0,alto8,alto8,3,0,1,0,3,4,,
51,50,0,cello1,cello1,4,0,4,0,4,4,,
52,50,0,cello2,cello2,4,0,1,0,4,4,,
53,50,0,cello3,cello3,4,3,2,0,4,4,,
54,50,0,cello4,cello4,4,0,3,0,4,4,,
55,50,0,cello5,cello5,4,0,1,0,4,4,,
56,50,0,cello6,cello6,4,0,2,0,4,4,,
57,50,0,cello7,cello7,4,0,3,0,4,4,,
58,50,0,cello8,cello8,4,0,4,0,4,4,,
61,60,0,violonA11,violonA11,1,0,4,0,5,4,,
62,60,0,violonA12,violonA12,1,0,4,0,5,4,,
63,60,0,violonA13,violonA13,1,0,4,0,5,4,,
64,60,0,violonA14,violonA14,1,0,4,0,5,4,,
65,60,0,violonA15,violonA15,1,0,4,0,5,4,,
71,70,0,violonA21,violonA21,2,0,4,0,6,4,,
72,70,0,violonA22,violonA22,2,0,4,0,6,4,,
73,70,0,violonA23,violonA23,2,0,4,0,6,4,,
74,70,0,violonA24,violonA24,2,0,4,0,6,4,,
75,70,0,violonA25,violonA25,2,0,4,0,6,4,,
81,80,0,alto1A1,alto1A1,3,0,4,0,7,4,,
82,80,0,alto1A2,alto1A2,3,0,4,0,7,4,,
83,80,0,alto1A3,alto1A3,3,0,4,0,7,4,,
84,80,0,alto1A4,alto1A4,3,0,4,0,7,4,,
85,80,0,alto1A5,alto1A5,3,0,4,0,7,4,,
91,90,0,cellA1,cellA1,4,0,4,0,8,4,,
92,90,0,cellA2,cellA2,4,0,4,0,8,4,,
93,90,0,cellA3,cellA3,4,0,4,0,8,4,,
94,90,0,cellA4,cellA4,4,0,4,0,8,4,,
95,90,0,cellA5,cellA5,4,0,4,0,8,4,,
