Note,Note stop,Flag usage,Nom,Fichier son,Instrument,Slot,Type,Pas utilisé,Groupe,Durée,Attente,pseudo
11,10,0,TumTumTa,evolve1,1,0,1,0,0,4,,moi
12,10,0,TumLaTumLa,evolve2,1,1,1,0,0,4,,lui
13,10,0,TumTiTiTak,evolve3,1,2,1,0,0,2,,moi
14,10,0,TumTiKaTa,evolve4,1,3,1,0,0,2,,lui
15,10,0,TumTiKaTaTiKaTumTum,evolve5,1,4,1,0,0,2,,elle
16,10,0,TumTumTikTum,evolve6,1,5,1,0,0,2,,nous
17,10,0,TiKaTiKaTa,evolve7,1,6,1,0,0,4,,nous
18,10,0,TumTacKeTumKeTum,evolve8,1,7,1,0,0,4,,vous
19,10,0,KlaKlaYiKla,evolve9,1,8,1,0,0,4,,tous
20,10,0,TouHoToPa,evolve10,1,9,1,0,0,4,,moi
21,10,0,ToToUToToU,evolve11,1,10,1,0,0,4,,lui
22,10,0,TumKeTumKeTumTak,evolve12,1,11,1,0,0,4,,elle
26,25,0,Poum,polyplexTechno1,2,1,2,0,1,4,,
27,25,0,Tak,polyplexTechno2,2,1,2,0,1,4,,
28,25,0,TaOu,polyplexTechno3,2,1,2,0,1,4,,
29,25,0,PomTiPoum,polyplexTechno4,2,1,2,0,1,4,,
30,25,0,TiKeOuKeOu,polyplexTechno5,2,1,2,0,1,4,,
31,25,0,SplashPoumTak,polyplexTechno6,2,1,2,0,1,4,,
36,35,0,Groovematic,Fm1,3,1,3,0,2,4,,
37,35,0,Ledeaz,Fm2,3,1,3,0,2,4,,
38,35,0,Waverom,Fm3,3,1,3,0,2,4,,
39,35,0,AmbiantDrums,Fm4,3,1,3,0,2,4,,
40,35,0,BrainsOfMek,Fm5,3,1,3,0,2,4,,
41,35,0,DayAfterDay,Fm6,3,1,3,0,2,4,,
42,35,0,DumDummy,Fm7,3,1,3,0,2,4,,
43,35,0,Sci-fi,Fm8,3,1,3,0,2,4,,
44,35,0,Exciting,Fm9,3,1,3,0,2,4,,
45,35,0,Experi,Fm10,3,1,3,0,2,4,,
46,35,0,Hibernate,Fm11,3,1,3,0,2,4,,
47,35,0,InLove,Fm12,3,1,3,0,2,4,,
51,50,0,ZeBeatsteak,massiveTechno1,4,2,1,0,3,4,,
52,50,0,Acidstage,massiveTechno2,4,2,1,0,3,4,,
53,50,0,Algebra,massiveTechno3,4,2,1,0,3,4,,
54,50,0,Analovue,massiveTechno4,4,2,1,0,3,4,,
55,50,0,Applecrate,massiveTechno5,4,2,1,0,3,4,,
56,50,0,Minimalism,massiveTechno6,4,2,1,0,3,4,,
57,50,0,PhatPrat,massiveTechno7,4,2,1,0,3,4,,
58,50,0,Sandcastle,massiveTechno8,4,2,1,0,3,4,,
59,50,0,Shadows,massiveTechno9,4,2,1,0,3,4,,
60,50,0,SpeedBike,massiveTechno10,4,2,1,0,3,4,,
61,50,0,Trancelator,massiveTechno11,4,2,1,0,3,4,,
62,50,0,DruveMeNutes,massiveTechno12,4,2,1,0,3,4,,
66,65,0,Trancemaster,roundTechno1,5,2,2,0,4,4,,
67,65,0,ForBerlin,roundTechno2,5,2,2,0,4,4,,
68,65,0,Gunk,roundTechno3,5,2,2,0,4,4,,
69,65,0,BreakingNews,roundTechno4,5,2,2,0,4,4,,
70,65,0,SquelchLine,roundTechno5,5,2,2,0,4,4,,
71,65,0,TrapLine,roundTechno6,5,2,2,0,4,4,,
72,65,0,EuphoricTrance,roundTechno7,5,2,2,0,4,4,,
73,65,0,Technoid,roundTechno8,5,2,2,0,4,4,,
74,65,0,GroundLondon,roundTechno9,5,2,2,0,4,4,,
75,65,0,Visionary,roundTechno10,5,2,2,0,4,4,,
76,65,0,Brauchbar,roundTechno11,5,2,2,0,4,4,,
77,65,0,MontiLaGroove,roundTechno12,5,2,2,0,4,4,,
81,80,0,Electro,absynth1,6,2,3,0,5,4,,
82,80,0,Elegtro,absynth2,6,2,3,0,5,4,,
83,80,0,F-Verc,absynth3,6,2,3,0,5,4,,
84,80,0,FlexTech,absynth4,6,2,3,0,5,4,,
85,80,0,HeLooksLike,absynth5,6,2,3,0,5,4,,
86,80,0,NowWhat,absynth6,6,2,3,0,5,4,,
87,80,0,RY-30,absynth7,6,2,3,0,5,4,,
88,80,0,RY-30vowelly,absynth8,6,2,3,0,5,4,,
89,80,0,ScifiSequence,absynth9,6,2,3,0,5,4,,
90,80,0,TomVinyl,absynth10,6,2,3,0,5,4,,
91,80,0,TryingToGetAway,absynth11,6,2,3,0,5,4,,
92,80,0,YouDontHaveToHopp,absynth12,6,2,3,0,5,4,,
96,95,0,SubWind,drone1,7,3,1,0,6,4,,
97,95,0,Cave,drone2,7,3,1,0,6,4,,
98,95,0,PolterGeister,drone3,7,3,1,0,6,4,,
99,95,0,DesertWind,drone4,7,3,1,0,6,4,,
100,95,0,PolarWind,drone5,7,3,1,0,6,4,,
101,95,0,CristalRain,drone6,7,3,1,0,6,4,,
102,95,0,PolarWind2,drone7,7,3,1,0,6,4,,
106,105,0,Formmmmm,form1,8,3,2,0,7,4,,
107,105,0,Transformer,form2,8,3,2,0,7,4,,
108,105,0,Formamama,form3,8,3,2,0,7,4,,
109,105,0,FormaIiiii,form4,8,3,2,0,7,4,,
110,105,0,Orrr,form5,8,3,2,0,7,4,,
111,105,0,Yoooooo,form6,8,3,2,0,7,4,,
116,115,0,MunchkinDo,razor1,9,3,3,0,8,4,,
117,115,0,MunchkinSol3,razor2,9,3,3,0,8,4,,
118,115,0,MunchKinSib,razor3,9,3,3,0,8,4,,
119,115,0,MunchKinMib,razor4,9,3,3,0,8,4,,
120,115,0,MunchkinSol4,razor5,9,3,3,0,8,4,,
121,115,0,MunchkinRe,razor6,9,3,3,0,8,4,,
122,115,0,MunchkinFa,razor7,9,3,3,0,8,4,,
123,115,0,MunchkinLa,razor8,9,3,3,0,8,4,,
131,130,0,Pitchable1,Pitchable1,10,4,3,0,9,4,,
136,135,0,Vocosyn1,Vocosyn1,11,5,3,0,10,4,,
137,135,0,Vocosyn2,Vocosyn2,11,5,3,0,10,4,,
138,135,0,Vocosyn3,Vocosyn3,11,5,3,0,10,4,,
141,140,0,Massive1,Massive1,12,6,4,0,11,4,,
142,140,0,Massive2,Massive2,12,6,4,0,11,4,,
143,140,0,Massive3,Massive3,12,6,4,0,11,4,,
144,140,0,Massive4,Massive4,12,6,4,0,11,4,,
151,150,0,Reaktor5,Reaktor5,13,7,4,0,12,4,,
156,155,0,Reaktor6,Reaktor6,14,8,4,0,13,4,,
161,160,0,Melodie1,Melodie1,15,9,4,0,14,4,,
